date,time,open,high,low,close,volume
2022.12.09,17:00,1.05339,1.05584,1.05253,1.05298,4349
2022.12.09,17:15,1.05300,1.05324,1.05190,1.05230,2723
2022.12.09,17:30,1.05229,1.05418,1.05224,1.05378,2318
2022.12.09,17:45,1.05379,1.05424,1.05338,1.05407,2526
2022.12.09,18:00,1.05408,1.05414,1.05348,1.05371,1589
2022.12.09,18:15,1.05372,1.05432,1.05361,1.05432,1276
2022.12.09,18:30,1.05431,1.05516,1.05391,1.05502,1751
2022.12.09,18:45,1.05503,1.05540,1.05474,1.05493,1430
2022.12.09,19:00,1.05492,1.05503,1.05443,1.05464,1080
2022.12.09,19:15,1.05465,1.05465,1.05320,1.05328,1014
2022.12.09,19:30,1.05328,1.05386,1.05327,1.05364,989
2022.12.09,19:45,1.05364,1.05461,1.05359,1.05455,1032
2022.12.09,20:00,1.05454,1.05459,1.05398,1.05444,896
2022.12.09,20:15,1.05442,1.05500,1.05425,1.05494,867
2022.12.09,20:30,1.05493,1.05559,1.05482,1.05558,817
2022.12.09,20:45,1.05559,1.05559,1.05472,1.05494,684
2022.12.09,21:00,1.05494,1.05502,1.05446,1.05487,795
2022.12.09,21:15,1.05485,1.05521,1.05450,1.05480,605
2022.12.09,21:30,1.05479,1.05484,1.05451,1.05453,527
2022.12.09,21:45,1.05454,1.05483,1.05435,1.05470,630
2022.12.09,22:00,1.05466,1.05479,1.05438,1.05444,565
2022.12.09,22:15,1.05445,1.05455,1.05387,1.05387,688
2022.12.09,22:30,1.05386,1.05392,1.05354,1.05358,579
2022.12.09,22:45,1.05359,1.05370,1.05305,1.05305,766
2022.12.09,23:00,1.05303,1.05309,1.05290,1.05299,466
2022.12.09,23:15,1.05300,1.05329,1.05290,1.05314,368
2022.12.09,23:30,1.05314,1.05334,1.05306,1.05317,491
2022.12.09,23:45,1.05317,1.05340,1.05307,1.05338,613
2022.12.12,00:00,1.05284,1.05348,1.05284,1.05330,46
2022.12.12,00:15,1.05328,1.05330,1.05320,1.05327,49
2022.12.12,00:30,1.05327,1.05363,1.05320,1.05321,237
2022.12.12,00:45,1.05321,1.05345,1.05321,1.05334,293
2022.12.12,01:00,1.05333,1.05347,1.05251,1.05264,479
2022.12.12,01:15,1.05264,1.05279,1.05255,1.05262,259
2022.12.12,01:30,1.05262,1.05267,1.05217,1.05232,406
2022.12.12,01:45,1.05233,1.05242,1.05186,1.05212,372
